frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face,ground_truth
234,7,myke,0.8301328598369153,17.462730407714844,back_view,0.7,True,12,40,
236,3,Unknown,0.0,11.653900146484375,profile,0.5,False,0,0,
236,4,Unknown,0.0,37.53232955932617,profile,0.5,False,0,134,
236,7,myke,0.8326810105165888,20.122528076171875,back_view,0.7,True,13,42,
238,3,Unknown,0.0,11.122941970825195,profile,0.5,False,0,0,
238,4,Unknown,0.0,42.58990287780762,profile,0.5,False,0,136,
238,7,myke,0.8352345000538405,15.206098556518555,back_view,0.7,True,14,44,
240,3,Unknown,0.0,16.1283016204834,profile,0.5,False,0,0,
240,4,Unknown,0.0,45.278310775756836,profile,0.5,False,0,138,
240,7,myke,0.8377933210060935,14.551401138305664,back_view,0.7,True,15,46,
242,3,Unknown,0.0,10.683774948120117,frontal,0.7,False,0,0,
242,4,Unknown,0.0,34.98244285583496,profile,0.5,False,0,140,
242,7,myke,0.8403574657363809,13.64588737487793,back_view,0.7,True,16,48,
244,3,Unknown,0.0,9.767532348632812,profile,0.5,False,0,0,
244,4,Unknown,0.0,36.31019592285156,profile,0.5,False,0,142,
244,7,myke,0.8429269264116516,13.637781143188477,back_view,0.7,True,17,50,
246,3,Unknown,0.0,10.312080383300781,profile,0.5,False,0,0,
246,4,Unknown,0.0,52.05798149108887,profile,0.5,False,0,144,
246,7,myke,0.8455016950010645,17.5478458404541,back_view,0.7,True,18,52,
248,3,Unknown,0.0,9.059906005859375,profile,0.5,False,0,0,
248,4,Unknown,0.0,33.96153450012207,profile,0.5,False,0,146,
248,7,myke,0.8480817632742697,18.459081649780273,back_view,0.7,True,19,54,
250,3,Unknown,0.0,12.441635131835938,profile,0.5,False,0,0,
250,4,Unknown,0.0,21.424293518066406,profile,0.5,False,0,148,
250,7,myke,0.8506671227996788,16.970396041870117,back_view,0.7,True,20,56,
252,3,Unknown,0.0,12.13693618774414,profile,0.5,False,0,0,
252,4,Unknown,0.0,28.913497924804688,back_view,0.8999999999999999,False,1,150,
252,7,myke,0.853257764942724,13.797760009765625,back_view,0.7,True,21,58,
